Crop,Year,Mean_Temp_Max,Mean_Temp_Min,Total_Rainfall,Avg_Humidity,pH,N_kg_ha,P_kg_ha,K_kg_ha,Organic_Matter,Soil_Texture,Bulk_Density,Rainfall_Adequacy_Index,Irrigation_Available,Water_Table_Depth,Runoff_Index
Cassava,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.2490142459033695,73.3871428833399,30.57523843153024,98.2541634898803,2.665345592656757,Loamy,1.2431416303215042,0.7393186626639396,1,3.1065641779193207,0.3933293127329134
Yam,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.158520709648645,89.84861028177446,49.26365745327361,109.76211563200766,2.846269853717143,Loamy,1.3380352134665956,0.5988784323568815,1,2.5801344708629124,0.5223217220616272
Cocoyam,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,5.894306561430208,98.8618590121053,30.28356204277267,86.74930926438896,3.3717188736255306,Clay Loam,1.233616336873791,0.6208316143793134,1,3.078791153741493,0.5925527556801578
Sweet Potato,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.256908956922407,71.74577812831839,35.677828200902994,85.21003841632759,2.4202555444230325,Sandy Loam,1.3599419068015213,0.6074213079900351,0,2.798277388255788,0.493062638620945
Maize,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.229753987582999,103.09060468867315,39.770008817466014,75.45562377035971,3.324299169952795,Sandy Loam,1.296571859042024,0.6055724912288695,1,3.5159222697343173,0.4142853108359577
Sorghum,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.129758912915246,79.106649010806,31.25695625652899,57.51786594725235,2.6266022527329613,Sandy Loam,1.2736582529534837,0.6094191518470948,0,3.108663776177817,0.3635862995028815
Rice,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.473763844652217,91.21843177051436,38.10838453215793,83.24166352488442,3.10041434060837,Clay Loam,1.119796604969347,0.6646028296228145,1,1.5801150797607777,0.7858905399887817
Ground Nut,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.230230418745872,79.73486124550783,33.79484610246634,58.95885556505852,2.491471285286307,Loamy,1.3533659462662968,0.7029550319460615,0,3.4448153978117184,0.3281439290412258
Cowpea,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,5.8591576842195146,55.48184167952821,21.908699141849716,45.58197578995631,2.0936127848755444,Sandy Loam,1.4081805751205037,0.5041992101421011,0,3.841141994637712,0.3379781804488125
Soyabean,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.362768013075789,89.63242112485287,30.81590696629996,59.1660991780584,2.7105894672597044,Loamy,1.2866978362426915,0.577311893005258,0,3.532740187532676,0.3709915429542578
Tomato,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.060974692156261,107.11458552828316,37.08781871302538,76.81779316766527,2.314030615767958,Loamy,1.3447014721144162,0.5487895624739833,1,2.293084619959851,0.5836532640247389
Onion,2011,31.28290410958904,18.7927397260274,1051.59,59.70589041095891,6.160281073928923,103.61856810800334,38.40937069693161,98.83148548116914,2.405815437999532,Sandy Loam,1.233693595641173,0.434514332813423,1,3.363738976074232,0.3133769166651357
