Year,Mean_Temp_Max,Mean_Temp_Min,Total_Rainfall,Avg_Humidity,pH,N_kg_ha,P_kg_ha,K_kg_ha,Organic_Matter,Bulk_Density,Rainfall_Adequacy_Index,Irrigation_Available,Water_Table_Depth,Runoff_Index,Crop,Soil_Texture
2011,31.281521466577328,18.799216611408408,1051.605230298564,59.703548877211674,6.246672876333878,73.40293501149498,30.582912778821772,98.24946874602095,2.6707711930926163,1.2385074533933795,0.7346613651282371,1,3.0874313754727427,0.37608013440778304,Cassava,Loamy
2011,31.28604658291499,18.78365948527219,1051.5758769629865,59.720546898648124,6.156262946643779,89.84928556382134,49.249409971411474,109.7566718047624,2.847379079614242,1.3265252776923726,0.6026354125403383,1,2.5772175333649794,0.5163046559393332,Yam,Loamy
2011,31.27232700029948,18.80096517514843,1051.5777915635,59.70797904690895,5.874709860191411,98.84857715161631,30.28553065513136,86.75669393018892,3.37343255643743,1.2324598540499085,0.6178205774234206,1,3.071592711657546,0.5879463679705599,Cocoyam,Clay Loam
2011,31.265273708035412,18.795980565721347,1051.5861491771957,59.69912119095585,6.263025719810816,71.75608812354335,35.68714100209416,85.20164624109536,2.4171634206645205,1.363254541115557,0.6171767592612587,0,2.79642079848915,0.4819992888808847,Sweet Potato,Sandy Loam
2011,31.296466509874747,18.792019624811594,1051.600035328979,59.709506771209384,6.223302790036948,103.09421864472824,39.785389183130675,75.45526550996861,3.339945606510935,1.2703744080011266,0.6137915162726217,1,3.5129321962296585,0.41520291860131275,Maize,Sandy Loam
2011,31.28647523530416,18.807518666474813,1051.5848172978172,59.69780547492998,6.124741342479401,79.11580303198302,31.26024376762559,57.51256834521468,2.631734927064095,1.2746290284469641,0.6191056017524237,0,3.1053871547118392,0.3596652179715599,Sorghum,Sandy Loam
2011,31.285514662310838,18.792790860593822,1051.5876541286661,59.6917367035384,6.469557391424564,91.2150046253491,38.10036175946571,83.24005066776776,3.1044548491765154,1.1386584639814523,0.6663486077511329,1,1.579370620603116,0.7667028278357912,Rice,Clay Loam
2011,31.307536530713893,18.790816116379588,1051.5930154734233,59.705543293261854,6.218543638369677,79.74628947365298,33.8023654327932,58.966765884528954,2.4823774107383594,1.3673938893756579,0.6889365213181387,0,3.466719954069818,0.31823856578991894,Ground Nut,Loamy
2011,31.27786935304788,18.777233091716738,1051.590685629748,59.69526737382165,5.863893608525866,55.47264743718587,21.924198485899897,45.57414325703295,2.0903921697134877,1.4163157472942003,0.49189056697776157,0,3.8542134221805364,0.3219033481032002,Cowpea,Sandy Loam
2011,31.290722338306814,18.78037021891862,1051.5767954338692,59.71110982661508,6.365737859808121,89.63492605335632,30.81937144839493,59.15929893084262,2.7129120042313146,1.2896285609756784,0.5701683788249943,0,3.537478516741794,0.3590785079822313,Soyabean,Loamy
2011,31.290774955626464,18.804325681817474,1051.5817931768163,59.71552417225135,6.065102501425626,107.1228061298831,37.106786642851915,76.81533928650525,2.3064932541243834,1.3358063278181609,0.5406314596243289,1,2.2964961397080175,0.5864201720180391,Tomato,Loamy
2011,31.297439450360613,18.79009315769502,1051.6172016916657,59.71214708443656,6.15170949836476,103.60785918302274,38.414195421084045,98.82925085331588,2.4129554429404525,1.2384259718869084,0.43378604368685425,1,3.3485905038273733,0.30891176714446544,Onion,Sandy Loam
2011,31.27044672180192,18.79447153528591,1051.5938531737972,59.6970518365969,6.474125932529265,89.58404085072154,43.56186313038924,56.95543882160587,2.1231351913185583,1.4062049265264405,0.6128550789165405,1,4.640070811410474,0.34602582336307536,Cotton,Loamy
2011,31.321431424495586,18.79844863113433,1051.6013556564017,59.71543042859384,5.506513912513058,80.9727108561192,28.671263729246192,77.85038561997732,2.294136019363354,1.1803752305383368,0.7266841787689354,0,2.136191923898219,0.6132674331582615,Ginger,Clay Loam
2011,31.293793615558712,18.793382526218355,1051.5792225522207,59.69873737386631,5.589320627735437,147.13503855140814,49.80598591851742,123.89778620039984,2.9018547401910544,1.195810913347102,0.7360419272413062,0,1.6682137867274627,0.7986240576910634,Sugar Cane,Clay Loam
2012,30.362240613727405,18.930350419237893,1653.6086575519416,64.27266916707697,6.027968728869299,94.01844693912966,21.929887351726006,109.51760686995804,1.988356946005569,1.2907090674487987,0.5296707422641862,0,3.537016891164362,0.47954627945462075,Yam,Loamy
